"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"63",16,13,10,16,15,15,13,18,20,18,22,21,23,17,12,15,19,18,13,14,18,17,27,16,23,15,19,12,17,33,13,15,16,14,9,15,20,18,16,19,16,20,22,18,16,22,14,11,15,17,15,22,16,12,20,14,18,13,19,17,15,14,11,8,13,21,19,14,14,15,21,17,15,16,24,20,12,13,15,24,19,15,17,24,14,13,20,15,14,16,15,19,23,14,15,22,13,7,15,7
"64",15,13,9,16,15,15,13,17,21,19,22,20,24,17,13,14,20,18,10,14,19,16,27,17,24,14,19,12,18,30,15,14,16,13,9,16,21,18,16,19,15,20,22,18,16,23,13,11,15,18,16,21,15,9,22,14,16,13,19,16,15,15,11,8,11,23,21,14,13,15,21,17,16,15,23,20,14,16,15,22,19,15,18,25,14,13,20,15,14,16,15,18,22,15,15,21,12,7,14,8
"65",13,13,11,16,15,15,13,17,21,18,22,20,24,17,14,14,18,15,11,15,19,16,27,18,25,14,19,13,19,30,12,13,15,13,8,16,22,18,16,19,16,20,20,18,15,22,12,12,14,18,15,20,15,8,22,15,17,13,17,16,16,15,10,8,11,23,24,16,12,16,21,18,16,16,22,21,13,18,16,21,19,15,19,26,14,13,21,17,13,15,17,18,22,15,15,20,13,8,15,9
"66",14,14,12,15,15,15,12,17,20,18,22,18,24,14,14,15,18,14,11,15,19,16,27,19,25,14,18,13,21,32,12,12,14,15,8,14,21,19,15,19,15,20,20,18,15,20,13,12,15,18,15,20,14,9,22,15,17,12,18,15,15,16,10,8,13,23,22,17,12,16,22,19,16,16,22,21,14,18,16,21,19,14,18,25,16,13,21,17,14,14,18,18,21,15,16,21,13,9,15,9
"67",13,14,13,14,15,15,12,18,19,16,23,18,24,14,14,16,19,14,10,14,17,17,27,18,25,14,17,13,21,30,11,13,14,14,8,15,21,17,16,19,17,20,19,18,15,21,13,13,15,17,15,20,15,10,22,15,16,11,17,15,16,15,9,8,14,24,22,17,11,17,22,17,16,16,21,22,15,18,15,20,19,15,20,23,17,13,22,17,15,15,19,21,20,15,16,22,13,10,15,9
"68",13,14,13,14,15,15,13,18,20,15,23,16,25,14,14,17,19,14,9,14,18,18,27,18,25,15,15,14,19,31,11,14,15,13,9,15,19,17,15,20,17,19,16,19,15,21,13,13,14,15,15,19,14,11,23,17,16,11,17,15,17,15,10,6,12,25,20,18,11,16,22,19,16,18,20,20,15,17,15,19,19,16,20,22,18,14,20,17,16,15,21,24,19,14,15,21,12,11,15,9
"69",14,15,13,13,15,14,13,18,20,16,23,15,24,15,14,18,19,13,10,14,16,18,28,18,24,15,15,16,19,31,10,14,18,14,9,17,19,19,15,22,17,19,16,18,16,19,14,13,14,16,15,19,14,11,22,19,16,11,16,15,15,14,10,7,14,25,20,18,12,14,23,19,18,19,21,20,13,17,16,19,19,16,18,21,16,16,20,15,17,13,20,25,19,16,14,21,12,11,16,9
"70",14,15,11,12,17,14,13,17,19,16,24,14,25,16,15,18,19,14,12,14,16,19,26,19,24,15,15,16,19,31,10,16,18,13,10,16,20,17,13,22,18,20,16,18,16,19,14,13,15,15,14,17,14,10,20,18,15,12,15,15,15,14,9,7,14,24,21,17,11,14,20,19,19,19,21,21,15,15,16,19,18,17,19,21,15,15,19,16,17,14,19,25,18,18,13,20,12,12,16,8
"71",13,15,11,12,17,14,13,17,18,15,23,14,26,14,14,18,20,14,11,14,16,19,27,20,24,14,15,15,21,31,11,15,19,13,10,16,20,16,14,22,18,18,16,18,16,19,16,12,16,16,13,17,15,10,22,17,15,13,16,15,15,15,10,7,14,23,22,17,10,14,20,18,19,19,20,21,15,15,16,18,19,19,20,18,16,15,18,16,19,14,19,25,17,18,13,19,11,11,17,8
"72",14,15,11,12,18,13,13,18,19,15,24,15,26,14,15,17,20,14,11,14,16,17,26,22,24,16,15,15,20,30,12,15,19,14,12,18,19,15,13,23,18,18,17,19,15,19,17,13,14,17,13,18,14,10,22,19,14,13,15,14,15,15,10,7,14,22,22,17,10,14,23,16,19,19,19,20,16,15,16,19,17,20,19,18,16,14,19,16,19,15,19,26,16,18,14,19,10,12,16,9
"73",13,16,11,11,19,12,14,17,19,18,23,13,27,14,15,17,21,13,11,13,15,19,26,22,24,16,15,15,20,30,12,15,19,14,11,17,19,15,12,23,19,16,17,18,16,19,18,13,13,18,12,17,14,10,22,18,14,14,15,14,15,16,10,9,16,23,21,17,10,16,22,16,18,18,19,19,16,16,18,18,17,20,19,16,17,14,19,16,19,15,19,25,17,17,11,20,11,10,17,9
"74",12,16,12,11,18,11,13,17,19,18,23,13,27,15,15,17,22,12,12,14,14,18,26,22,24,13,17,17,20,29,12,16,19,14,11,16,18,15,13,24,19,15,16,18,16,18,17,11,13,18,11,17,15,10,23,17,15,13,15,13,16,17,9,10,15,22,21,17,10,17,22,17,16,18,19,19,13,17,19,18,17,20,19,14,18,14,18,16,22,14,19,26,17,14,10,20,11,10,16,10
